director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,tags
Roger Spottiswoode,Vincent Schiavelli,Colin Salmon,Joe Don Baker,Action Adventure Thriller,tomorrow never dies,Action Adventure Thriller tomorrow never dies Vincent Schiavelli Colin Salmon Joe Don Baker Roger Spottiswoode
Roland Emmerich,Heath Ledger,Adam Baldwin,Tom Wilkinson,Action Drama History War,the patriot,Action Drama History War the patriot Heath Ledger Adam Baldwin Tom Wilkinson Roland Emmerich
Steven Soderbergh,Brad Pitt,Julia Roberts,Mini Anden,Crime Thriller,ocean's twelve,Crime Thriller ocean's twelve Brad Pitt Julia Roberts Mini Anden Steven Soderbergh
Doug Liman,Brad Pitt,Angelina Jolie Pitt,Stephanie March,Action Comedy Crime Romance Thriller,mr. & mrs. smith,Action Comedy Crime Romance Thriller mr. & mrs. smith Brad Pitt Angelina Jolie Pitt Stephanie March Doug Liman
Robert Schwentke,Kate Winslet,Theo James,Mekhi Phifer,Adventure Sci-Fi Thriller,insurgent,Adventure Sci-Fi Thriller insurgent Kate Winslet Theo James Mekhi Phifer Robert Schwentke
Martin Scorsese,Leonardo DiCaprio,Adam Scott,Frances Conroy,Biography Drama,the aviator,Biography Drama the aviator Leonardo DiCaprio Adam Scott Frances Conroy Martin Scorsese
Rob Letterman,James Corden,Catherine Tate,Olly Alexander,Adventure Comedy Family Fantasy,gulliver's travels,Adventure Comedy Family Fantasy gulliver's travels James Corden Catherine Tate Olly Alexander Rob Letterman
Michel Gondry,Christoph Waltz,Tom Wilkinson,Chad L. Coleman,Action Comedy Crime Sci-Fi Thriller,the green hornet,Action Comedy Crime Sci-Fi Thriller the green hornet Christoph Waltz Tom Wilkinson Chad L. Coleman Michel Gondry
Noam Murro,Eva Green,Sullivan Stapleton,Peter Mensah,Action Drama Fantasy War,300: rise of an empire,Action Drama Fantasy War 300: rise of an empire Eva Green Sullivan Stapleton Peter Mensah Noam Murro
Raja Gosnell,Mahadeo Shivraj,Tim Gunn,Madison McKinley,Adventure Animation Comedy Family Fantasy,the smurfs,Adventure Animation Comedy Family Fantasy the smurfs Mahadeo Shivraj Tim Gunn Madison McKinley Raja Gosnell
Will Finn,Steve Buscemi,Roseanne Barr,G.W. Bailey,Animation Comedy Family Music Western,home on the range,Animation Comedy Family Music Western home on the range Steve Buscemi Roseanne Barr G.W. Bailey Will Finn
Robert Schwentke,Naomi Watts,Theo James,Zoë Kravitz,Action Adventure Mystery Sci-Fi Thriller,allegiant,Action Adventure Mystery Sci-Fi Thriller allegiant Naomi Watts Theo James Zoë Kravitz Robert Schwentke
Shawn Levy,Hugh Jackman,Torey Michael Adkins,Olga Fonda,Action Drama Sci-Fi Sport,real steel,Action Drama Sci-Fi Sport real steel Hugh Jackman Torey Michael Adkins Olga Fonda Shawn Levy
Raja Gosnell,Jacob Tremblay,Nancy O'Dell,Vanessa Matsui,Adventure Animation Comedy Family Fantasy,the smurfs 2,Adventure Animation Comedy Family Fantasy the smurfs 2 Jacob Tremblay Nancy O'Dell Vanessa Matsui Raja Gosnell
Jan de Bont,Jason Patric,Temuera Morrison,Lois Chiles,Action Crime Romance Thriller,speed 2: cruise control,Action Crime Romance Thriller speed 2: cruise control Jason Patric Temuera Morrison Lois Chiles Jan de Bont
Gavin Hood,Harrison Ford,Moises Arias,Aramis Knight,Action Sci-Fi,ender's game,Action Sci-Fi ender's game Harrison Ford Moises Arias Aramis Knight Gavin Hood
Len Wiseman,Bruce Willis,Jonathan Sadowski,Cyril Raffaelli,Action Adventure Thriller,live free or die hard,Action Adventure Thriller live free or die hard Bruce Willis Jonathan Sadowski Cyril Raffaelli Len Wiseman
Peter Jackson,Christopher Lee,Orlando Bloom,Billy Boyd,Action Adventure Drama Fantasy,the lord of the rings: the fellowship of the ring,Action Adventure Drama Fantasy the lord of the rings: the fellowship of the ring Christopher Lee Orlando Bloom Billy Boyd Peter Jackson
Michael Mann,Will Smith,Jada Pinkett Smith,Joe Morton,Biography Drama Sport,ali,Biography Drama Sport ali Will Smith Jada Pinkett Smith Joe Morton Michael Mann
Bo Welch,Sean Hayes,Kelly Preston,Spencer Breslin,Adventure Comedy Family Fantasy,the cat in the hat,Adventure Comedy Family Fantasy the cat in the hat Sean Hayes Kelly Preston Spencer Breslin Bo Welch
Alex Proyas,Will Smith,Bruce Greenwood,Chi McBride,Action Mystery Sci-Fi Thriller,"i, robot","Action Mystery Sci-Fi Thriller i, robot Will Smith Bruce Greenwood Chi McBride Alex Proyas"
Ridley Scott,Liam Neeson,Orlando Bloom,Philip Glenister,Action Adventure Drama History War,kingdom of heaven,Action Adventure Drama History War kingdom of heaven Liam Neeson Orlando Bloom Philip Glenister Ridley Scott
Rob Minkoff,Chazz Palminteri,Nathan Lane,Jeffrey Jones,Adventure Comedy Family Fantasy,stuart little,Adventure Comedy Family Fantasy stuart little Chazz Palminteri Nathan Lane Jeffrey Jones Rob Minkoff
Ron Clements,Oprah Winfrey,Jenifer Lewis,Anika Noni Rose,Animation Family Fantasy Musical Romance,the princess and the frog,Animation Family Fantasy Musical Romance the princess and the frog Oprah Winfrey Jenifer Lewis Anika Noni Rose Ron Clements
Ridley Scott,Matt Damon,Donald Glover,Benedict Wong,Adventure Drama Sci-Fi,the martian,Adventure Drama Sci-Fi the martian Matt Damon Donald Glover Benedict Wong Ridley Scott
Christopher Barnard,Mathew Buck,unknown,unknown,Comedy,"10,000 b.c.            ","Comedy 10,000 b.c.             Mathew Buck unknown unknown Christopher Barnard"
Peter Chelsom,Del Zamora,Warren Beatty,Garry Shandling,Comedy Romance,town & country,Comedy Romance town & country Del Zamora Warren Beatty Garry Shandling Peter Chelsom
Dominic Sena,Nicolas Cage,Angelina Jolie Pitt,Robert Duvall,Action Crime Thriller,gone in sixty seconds,Action Crime Thriller gone in sixty seconds Nicolas Cage Angelina Jolie Pitt Robert Duvall Dominic Sena
Ridley Scott,Djimon Hounsou,Connie Nielsen,Oliver Reed,Action Drama Romance,gladiator,Action Drama Romance gladiator Djimon Hounsou Connie Nielsen Oliver Reed Ridley Scott
Steven Spielberg,Tom Cruise,Frank Grillo,Jessica Capshaw,Action Mystery Sci-Fi Thriller,minority report,Action Mystery Sci-Fi Thriller minority report Tom Cruise Frank Grillo Jessica Capshaw Steven Spielberg
Chris Columbus,Daniel Radcliffe,Rupert Grint,Emma Watson,Adventure Family Fantasy Mystery,harry potter and the chamber of secrets,Adventure Family Fantasy Mystery harry potter and the chamber of secrets Daniel Radcliffe Rupert Grint Emma Watson Chris Columbus
James Cameron,Joe Morton,Jenette Goldstein,S. Epatha Merkerson,Action Sci-Fi,terminator 2: judgment day,Action Sci-Fi terminator 2: judgment day Joe Morton Jenette Goldstein S. Epatha Merkerson James Cameron
Michael Mann,Johnny Depp,Christian Bale,Stephen Graham,Biography Crime Drama History Romance,public enemies,Biography Crime Drama History Romance public enemies Johnny Depp Christian Bale Stephen Graham Michael Mann
Ridley Scott,Denzel Washington,Ruby Dee,RZA,Biography Crime Drama,american gangster,Biography Crime Drama american gangster Denzel Washington Ruby Dee RZA Ridley Scott
James Cameron,Jamie Lee Curtis,Tia Carrere,Tom Arnold,Action Comedy Thriller,true lies,Action Comedy Thriller true lies Jamie Lee Curtis Tia Carrere Tom Arnold James Cameron
Tony Scott,Denzel Washington,Ramon Rodriguez,Michael Rispoli,Action Crime Thriller,the taking of pelham 1 2 3,Action Crime Thriller the taking of pelham 1 2 3 Denzel Washington Ramon Rodriguez Michael Rispoli Tony Scott
Paul Weitz,Robert De Niro,Blythe Danner,Teri Polo,Comedy Romance,little fockers,Comedy Romance little fockers Robert De Niro Blythe Danner Teri Polo Paul Weitz
Adam McKay,Dwayne Johnson,Will Ferrell,Derek Jeter,Action Comedy Crime,the other guys,Action Comedy Crime the other guys Dwayne Johnson Will Ferrell Derek Jeter Adam McKay
Chuck Russell,Vanessa Williams,James Coburn,Roma Maffia,Action Drama Mystery Thriller,eraser,Action Drama Mystery Thriller eraser Vanessa Williams James Coburn Roma Maffia Chuck Russell
Quentin Tarantino,Leonardo DiCaprio,Christoph Waltz,Ato Essandoh,Drama Western,django unchained,Drama Western django unchained Leonardo DiCaprio Christoph Waltz Ato Essandoh Quentin Tarantino
Gary Trousdale,Demi Moore,Jason Alexander,Bill Fagerbakke,Animation Drama Family Musical Romance,the hunchback of notre dame,Animation Drama Family Musical Romance the hunchback of notre dame Demi Moore Jason Alexander Bill Fagerbakke Gary Trousdale
Mark Dindal,Eartha Kitt,Wendie Malick,John Fiedler,Adventure Animation Comedy Family Fantasy,the emperor's new groove,Adventure Animation Comedy Family Fantasy the emperor's new groove Eartha Kitt Wendie Malick John Fiedler Mark Dindal
Simon West,Jason Statham,Sylvester Stallone,Bruce Willis,Action Adventure Thriller,the expendables 2,Action Adventure Thriller the expendables 2 Jason Statham Sylvester Stallone Bruce Willis Simon West
Jon Turteltaub,Nicolas Cage,Armando Riesco,Annie Parisse,Action Adventure Comedy Family Mystery,national treasure,Action Adventure Comedy Family Mystery national treasure Nicolas Cage Armando Riesco Annie Parisse Jon Turteltaub
Stefen Fangmeier,Djimon Hounsou,Ed Speleers,Gary Lewis,Action Adventure Family Fantasy,eragon,Action Adventure Family Fantasy eragon Djimon Hounsou Ed Speleers Gary Lewis Stefen Fangmeier
Spike Jonze,Catherine O'Hara,Ryan Corr,Max Records,Adventure Drama Family Fantasy,where the wild things are,Adventure Drama Family Fantasy where the wild things are Catherine O'Hara Ryan Corr Max Records Spike Jonze
Chris Wedge,Josh Hutcherson,Emma Kenney,Troy Evans,Adventure Animation Family Fantasy,epic,Adventure Animation Family Fantasy epic Josh Hutcherson Emma Kenney Troy Evans Chris Wedge
Peter Hyams,CCH Pounder,Mark Margolis,Udo Kier,Action Fantasy Horror Mystery,end of days,Action Fantasy Horror Mystery end of days CCH Pounder Mark Margolis Udo Kier Peter Hyams
Edward Zwick,Leonardo DiCaprio,Djimon Hounsou,Stephen Collins,Adventure Drama Thriller,blood diamond,Adventure Drama Thriller blood diamond Leonardo DiCaprio Djimon Hounsou Stephen Collins Edward Zwick
Martin Scorsese,Leonardo DiCaprio,Matthew McConaughey,Jon Favreau,Biography Comedy Crime Drama,the wolf of wall street,Biography Comedy Crime Drama the wolf of wall street Leonardo DiCaprio Matthew McConaughey Jon Favreau Martin Scorsese
Joel Schumacher,Michael Gough,Rene Auberjonois,Debi Mazar,Action Adventure Fantasy,batman forever,Action Adventure Fantasy batman forever Michael Gough Rene Auberjonois Debi Mazar Joel Schumacher
Paul Verhoeven,Jake Busey,Patrick Muldoon,Seth Gilliam,Action Sci-Fi War,starship troopers,Action Sci-Fi War starship troopers Jake Busey Patrick Muldoon Seth Gilliam Paul Verhoeven
Tom Tykwer,Tom Hanks,Jim Sturgess,Jim Broadbent,Drama Sci-Fi,cloud atlas,Drama Sci-Fi cloud atlas Tom Hanks Jim Sturgess Jim Broadbent Tom Tykwer
Zack Snyder,Abbie Cornish,Richard Roxburgh,Anthony LaPaglia,Action Adventure Animation Family Fantasy,legend of the guardians: the owls of ga'hoole,Action Adventure Animation Family Fantasy legend of the guardians: the owls of ga'hoole Abbie Cornish Richard Roxburgh Anthony LaPaglia Zack Snyder
Pitof,Frances Conroy,Christopher Heyerdahl,Alex Borstein,Action Crime Fantasy Romance Thriller,catwoman,Action Crime Fantasy Romance Thriller catwoman Frances Conroy Christopher Heyerdahl Alex Borstein Pitof
Ron Clements,Joseph Gordon-Levitt,Martin Short,Michael Wincott,Adventure Animation Family Sci-Fi,treasure planet,Adventure Animation Family Sci-Fi treasure planet Joseph Gordon-Levitt Martin Short Michael Wincott Ron Clements
Brad Silberling,Will Ferrell,Anna Friel,Bobb'e J. Thompson,Adventure Comedy Sci-Fi,land of the lost,Adventure Comedy Sci-Fi land of the lost Will Ferrell Anna Friel Bobb'e J. Thompson Brad Silberling
Patrick Hughes,Jason Statham,Sylvester Stallone,Harrison Ford,Action Adventure Thriller,the expendables 3,Action Adventure Thriller the expendables 3 Jason Statham Sylvester Stallone Harrison Ford Patrick Hughes
Lawrence Guterman,Jamie Kennedy,Traylor Howard,Ben Stein,Comedy Family Fantasy,son of the mask,Comedy Family Fantasy son of the mask Jamie Kennedy Traylor Howard Ben Stein Lawrence Guterman
Ron Howard,Chris Hemsworth,Benjamin Walker,Frank Dillane,Action Adventure Biography Drama History Thriller,in the heart of the sea,Action Adventure Biography Drama History Thriller in the heart of the sea Chris Hemsworth Benjamin Walker Frank Dillane Ron Howard
Ron Underwood,Rosario Dawson,Randy Quaid,Burt Young,Action Comedy Sci-Fi,the adventures of pluto nash,Action Comedy Sci-Fi the adventures of pluto nash Rosario Dawson Randy Quaid Burt Young Ron Underwood
Paul Greengrass,Matt Damon,Sean Huze,Igal Naor,Action Drama Thriller War,green zone,Action Drama Thriller War green zone Matt Damon Sean Huze Igal Naor Paul Greengrass
Steve Martino,Francesca Capaldi,Venus Schultheis,Bill Melendez,Adventure Animation Comedy Family,the peanuts movie,Adventure Animation Comedy Family the peanuts movie Francesca Capaldi Venus Schultheis Bill Melendez Steve Martino
David Mamet,Ben Gazzara,Felicity Huffman,Campbell Scott,Drama Mystery Thriller,the spanish prisoner,Drama Mystery Thriller the spanish prisoner Ben Gazzara Felicity Huffman Campbell Scott David Mamet
Stephen Sommers,Dwayne Johnson,Brendan Fraser,Patricia Velasquez,Action Adventure Fantasy Thriller,the mummy returns,Action Adventure Fantasy Thriller the mummy returns Dwayne Johnson Brendan Fraser Patricia Velasquez Stephen Sommers
Martin Scorsese,Leonardo DiCaprio,Liam Neeson,Jim Broadbent,Crime Drama,gangs of new york,Crime Drama gangs of new york Leonardo DiCaprio Liam Neeson Jim Broadbent Martin Scorsese
Yimou Zhang,Christian Bale,Ni Ni,Shigeo Kobayashi,Drama History Romance War,the flowers of war,Drama History Romance War the flowers of war Christian Bale Ni Ni Shigeo Kobayashi Yimou Zhang
Ash Brannon,Jeff Bridges,Zooey Deschanel,Jon Heder,Animation Comedy Family Sport,surf's up,Animation Comedy Family Sport surf's up Jeff Bridges Zooey Deschanel Jon Heder Ash Brannon
Frank Oz,Jon Lovitz,Matthew Broderick,Roger Bart,Comedy Sci-Fi Thriller,the stepford wives,Comedy Sci-Fi Thriller the stepford wives Jon Lovitz Matthew Broderick Roger Bart Frank Oz
Ridley Scott,Ioan Gruffudd,Sam Shepard,Ewen Bremner,Drama History War,black hawk down,Drama History War black hawk down Ioan Gruffudd Sam Shepard Ewen Bremner Ridley Scott
Jay Roach,Will Ferrell,Thomas Middleditch,Katherine LaNasa,Comedy,the campaign,Comedy the campaign Will Ferrell Thomas Middleditch Katherine LaNasa Jay Roach
Luc Besson,Milla Jovovich,Bruce Willis,Gary Oldman,Action Adventure Sci-Fi,the fifth element,Action Adventure Sci-Fi the fifth element Milla Jovovich Bruce Willis Gary Oldman Luc Besson
Michael Patrick King,Chris Noth,Liza Minnelli,Kristin Davis,Comedy Drama Romance,sex and the city 2,Comedy Drama Romance sex and the city 2 Chris Noth Liza Minnelli Kristin Davis Michael Patrick King
Bibo Bergeron,Frank Welker,Rosie Perez,Elton John,Adventure Animation Comedy Family Romance,the road to el dorado,Adventure Animation Comedy Family Romance the road to el dorado Frank Welker Rosie Perez Elton John Bibo Bergeron
Steve Martino,Peter Dinklage,Josh Gad,Drake,Adventure Animation Comedy Family,ice age: continental drift,Adventure Animation Comedy Family ice age: continental drift Peter Dinklage Josh Gad Drake Steve Martino
Andrew Stanton,Alexander Gould,Stephen Root,Brad Garrett,Adventure Animation Comedy Family,finding nemo,Adventure Animation Comedy Family finding nemo Alexander Gould Stephen Root Brad Garrett Andrew Stanton
Peter Jackson,Orlando Bloom,Billy Boyd,Bernard Hill,Action Adventure Drama Fantasy,the lord of the rings: the return of the king,Action Adventure Drama Fantasy the lord of the rings: the return of the king Orlando Bloom Billy Boyd Bernard Hill Peter Jackson
Peter Jackson,Christopher Lee,Orlando Bloom,Billy Boyd,Action Adventure Drama Fantasy,the lord of the rings: the two towers,Action Adventure Drama Fantasy the lord of the rings: the two towers Christopher Lee Orlando Bloom Billy Boyd Peter Jackson
Sergey Bodrov,Jeff Bridges,Djimon Hounsou,Olivia Williams,Action Adventure Fantasy,seventh son,Action Adventure Fantasy seventh son Jeff Bridges Djimon Hounsou Olivia Williams Sergey Bodrov
Simon West,Angelina Jolie Pitt,Noah Taylor,Chris Barrie,Action Adventure Fantasy Thriller,lara croft: tomb raider,Action Adventure Fantasy Thriller lara croft: tomb raider Angelina Jolie Pitt Noah Taylor Chris Barrie Simon West
Wally Pfister,Johnny Depp,Morgan Freeman,Clifton Collins Jr.,Drama Mystery Romance Sci-Fi Thriller,transcendence,Drama Mystery Romance Sci-Fi Thriller transcendence Johnny Depp Morgan Freeman Clifton Collins Jr. Wally Pfister
Joe Johnston,Michael Jeter,Trevor Morgan,Alessandro Nivola,Action Adventure Sci-Fi Thriller,jurassic park iii,Action Adventure Sci-Fi Thriller jurassic park iii Michael Jeter Trevor Morgan Alessandro Nivola Joe Johnston
Rupert Wyatt,James Franco,David Oyelowo,Tyler Labine,Action Drama Sci-Fi Thriller,rise of the planet of the apes,Action Drama Sci-Fi Thriller rise of the planet of the apes James Franco David Oyelowo Tyler Labine Rupert Wyatt
Mark Waters,Martin Short,Tod Fennell,Joan Plowright,Adventure Family Fantasy,the spiderwick chronicles,Adventure Family Fantasy the spiderwick chronicles Martin Short Tod Fennell Joan Plowright Mark Waters
John Moore,Bruce Willis,Cole Hauser,Megalyn Echikunwoke,Action Thriller,a good day to die hard,Action Thriller a good day to die hard Bruce Willis Cole Hauser Megalyn Echikunwoke John Moore
Brad Bird,Holly Hunter,Craig T. Nelson,Lou Romano,Action Adventure Animation Family,the incredibles,Action Adventure Animation Family the incredibles Holly Hunter Craig T. Nelson Lou Romano Brad Bird
Renny Harlin,Christopher Masterson,Frank Langella,Matthew Modine,Action Adventure Comedy,cutthroat island,Action Adventure Comedy cutthroat island Christopher Masterson Frank Langella Matthew Modine Renny Harlin
Chris Columbus,Logan Lerman,Rosario Dawson,Steve Coogan,Adventure Family Fantasy,percy jackson & the olympians: the lightning thief,Adventure Family Fantasy percy jackson & the olympians: the lightning thief Logan Lerman Rosario Dawson Steve Coogan Chris Columbus
Barry Sonnenfeld,Will Smith,Rip Torn,Linda Fiorentino,Adventure Comedy Family Mystery Sci-Fi,men in black,Adventure Comedy Family Mystery Sci-Fi men in black Will Smith Rip Torn Linda Fiorentino Barry Sonnenfeld
John Lasseter,Tom Hanks,John Ratzenberger,Wayne Knight,Adventure Animation Comedy Family Fantasy,toy story 2,Adventure Animation Comedy Family Fantasy toy story 2 Tom Hanks John Ratzenberger Wayne Knight John Lasseter
Tony Scott,Denzel Washington,Rosario Dawson,Ethan Suplee,Action Thriller,unstoppable,Action Thriller unstoppable Denzel Washington Rosario Dawson Ethan Suplee Tony Scott
Brett Ratner,Mei Melançon,John Lone,Harris Yulin,Action Comedy Crime Thriller,rush hour 2,Action Comedy Crime Thriller rush hour 2 Mei Melançon John Lone Harris Yulin Brett Ratner
Robert Zemeckis,Harrison Ford,Amber Valletta,Miranda Otto,Drama Fantasy Horror Mystery Thriller,what lies beneath,Drama Fantasy Horror Mystery Thriller what lies beneath Harrison Ford Amber Valletta Miranda Otto Robert Zemeckis
Phil Lord,Will Forte,Bobb'e J. Thompson,Al Roker,Animation Comedy Family Sci-Fi,cloudy with a chance of meatballs,Animation Comedy Family Sci-Fi cloudy with a chance of meatballs Will Forte Bobb'e J. Thompson Al Roker Phil Lord
Carlos Saldanha,Denis Leary,Maile Flanagan,Kelly Keaton,Action Adventure Animation Comedy Family,ice age: dawn of the dinosaurs,Action Adventure Animation Comedy Family ice age: dawn of the dinosaurs Denis Leary Maile Flanagan Kelly Keaton Carlos Saldanha
Ben Stiller,Adam Scott,Adrian Martinez,Joey Slotnick,Adventure Comedy Drama Fantasy Romance,the secret life of walter mitty,Adventure Comedy Drama Fantasy Romance the secret life of walter mitty Adam Scott Adrian Martinez Joey Slotnick Ben Stiller
McG,Bill Murray,LL Cool J,Kelly Lynch,Action Adventure Comedy Crime Thriller,charlie's angels,Action Adventure Comedy Crime Thriller charlie's angels Bill Murray LL Cool J Kelly Lynch McG
Martin Scorsese,Leonardo DiCaprio,Matt Damon,Ray Winstone,Crime Drama Thriller,the departed,Crime Drama Thriller the departed Leonardo DiCaprio Matt Damon Ray Winstone Martin Scorsese
Tony Bancroft,Ming-Na Wen,Harvey Fierstein,June Foray,Adventure Animation Family Fantasy Musical War,mulan,Adventure Animation Family Fantasy Musical War mulan Ming-Na Wen Harvey Fierstein June Foray Tony Bancroft
Ben Stiller,Robert Downey Jr.,Steve Coogan,Brandon T. Jackson,Action Comedy,tropic thunder,Action Comedy tropic thunder Robert Downey Jr. Steve Coogan Brandon T. Jackson Ben Stiller
David Fincher,Robin Wright,Goran Visnjic,Joely Richardson,Crime Drama Mystery Thriller,the girl with the dragon tattoo,Crime Drama Mystery Thriller the girl with the dragon tattoo Robin Wright Goran Visnjic Joely Richardson David Fincher
John McTiernan,Bruce Willis,Aldis Hodge,Kevin Chamberlin,Action Adventure Thriller,die hard with a vengeance,Action Adventure Thriller die hard with a vengeance Bruce Willis Aldis Hodge Kevin Chamberlin John McTiernan
Guy Ritchie,Robert Downey Jr.,Eddie Marsan,Robert Maillet,Action Adventure Crime Mystery Thriller,sherlock holmes,Action Adventure Crime Mystery Thriller sherlock holmes Robert Downey Jr. Eddie Marsan Robert Maillet Guy Ritchie
Gary Trousdale,Leonard Nimoy,Jim Varney,Cree Summer,Action Adventure Animation Family Fantasy Sci-Fi,atlantis: the lost empire,Action Adventure Animation Family Fantasy Sci-Fi atlantis: the lost empire Leonard Nimoy Jim Varney Cree Summer Gary Trousdale
Walt Becker,Bella Thorne,Joshua Mikel,Jesse McCartney,Adventure Animation Comedy Family Fantasy Music,alvin and the chipmunks: the road chip,Adventure Animation Comedy Family Fantasy Music alvin and the chipmunks: the road chip Bella Thorne Joshua Mikel Jesse McCartney Walt Becker
Bryan Singer,Tom Cruise,Tom Wilkinson,Thomas Kretschmann,Drama History Thriller War,valkyrie,Drama History Thriller War valkyrie Tom Cruise Tom Wilkinson Thomas Kretschmann Bryan Singer
Dennis Dugan,Adam Sandler,Sayed Badreya,Kevin Nealon,Action Comedy,you don't mess with the zohan,Action Comedy you don't mess with the zohan Adam Sandler Sayed Badreya Kevin Nealon Dennis Dugan
Chris Columbus,Peter Dinklage,Adam Sandler,Josh Gad,Action Animation Comedy Sci-Fi,pixels,Action Animation Comedy Sci-Fi pixels Peter Dinklage Adam Sandler Josh Gad Chris Columbus
Steven Spielberg,Haley Joel Osment,William Hurt,Kevin Sussman,Adventure Drama Sci-Fi,a.i. artificial intelligence,Adventure Drama Sci-Fi a.i. artificial intelligence Haley Joel Osment William Hurt Kevin Sussman Steven Spielberg
Rob Minkoff,Marsha Thomason,Rachael Harris,Marc John Jefferies,Comedy Family Fantasy Horror Mystery,the haunted mansion,Comedy Family Fantasy Horror Mystery the haunted mansion Marsha Thomason Rachael Harris Marc John Jefferies Rob Minkoff
Robert Zemeckis,Matthew McConaughey,Tom Skerritt,Larry King,Drama Mystery Sci-Fi Thriller,contact,Drama Mystery Sci-Fi Thriller contact Matthew McConaughey Tom Skerritt Larry King Robert Zemeckis
Paul Verhoeven,Greg Grunberg,Kim Dickens,Joey Slotnick,Action Horror Sci-Fi Thriller,hollow man,Action Horror Sci-Fi Thriller hollow man Greg Grunberg Kim Dickens Joey Slotnick Paul Verhoeven
Sydney Pollack,Curtiss Cook,George Harris,Michael Wright,Crime Mystery Thriller,the interpreter,Crime Mystery Thriller the interpreter Curtiss Cook George Harris Michael Wright Sydney Pollack
Thor Freudenthal,Logan Lerman,Leven Rambin,Brandon T. Jackson,Adventure Family Fantasy,percy jackson: sea of monsters,Adventure Family Fantasy percy jackson: sea of monsters Logan Lerman Leven Rambin Brandon T. Jackson Thor Freudenthal
Jan de Bont,Gerard Butler,Angelina Jolie Pitt,Djimon Hounsou,Action Adventure Fantasy,lara croft tomb raider: the cradle of life,Action Adventure Fantasy lara croft tomb raider: the cradle of life Gerard Butler Angelina Jolie Pitt Djimon Hounsou Jan de Bont
Jon M. Chu,Daniel Radcliffe,Morgan Freeman,Sanaa Lathan,Action Adventure Comedy Crime Mystery Thriller,now you see me 2,Action Adventure Comedy Crime Mystery Thriller now you see me 2 Daniel Radcliffe Morgan Freeman Sanaa Lathan Jon M. Chu
Tony Scott,Brad Pitt,Stephen Dillane,Catherine McCormack,Action Crime Thriller,spy game,Action Crime Thriller spy game Brad Pitt Stephen Dillane Catherine McCormack Tony Scott
Brian De Palma,Don Cheadle,Connie Nielsen,Kim Delaney,Adventure Sci-Fi Thriller,mission to mars,Adventure Sci-Fi Thriller mission to mars Don Cheadle Connie Nielsen Kim Delaney Brian De Palma
Carlos Saldanha,Anne Hathaway,Wanda Sykes,Will.i.am,Adventure Animation Comedy Family Musical,rio,Adventure Animation Comedy Family Musical rio Anne Hathaway Wanda Sykes Will.i.am Carlos Saldanha
Chris Columbus,Robin Williams,Oliver Platt,John Michael Higgins,Comedy Drama Sci-Fi,bicentennial man,Comedy Drama Sci-Fi bicentennial man Robin Williams Oliver Platt John Michael Higgins Chris Columbus
Mick Jackson,Don Cheadle,Anne Heche,Gaby Hoffmann,Action Drama Sci-Fi Thriller,volcano,Action Drama Sci-Fi Thriller volcano Don Cheadle Anne Heche Gaby Hoffmann Mick Jackson
Alan J. Pakula,Harrison Ford,Brad Pitt,Natascha McElhone,Action Crime Drama Thriller,the devil's own,Action Crime Drama Thriller the devil's own Harrison Ford Brad Pitt Natascha McElhone Alan J. Pakula
Kathryn Bigelow,Liam Neeson,Christian Camargo,Lex Shrapnel,Drama History Thriller War,k-19: the widowmaker,Drama History Thriller War k-19: the widowmaker Liam Neeson Christian Camargo Lex Shrapnel Kathryn Bigelow
Josh Trank,Tim Blake Nelson,Reg E. Cathey,Tim Heidecker,Action Adventure Sci-Fi,fantastic four,Action Adventure Sci-Fi fantastic four Tim Blake Nelson Reg E. Cathey Tim Heidecker Josh Trank
Ron Howard,Paddy Considine,Bruce McGill,Rosemarie DeWitt,Biography Drama Sport,cinderella man,Biography Drama Sport cinderella man Paddy Considine Bruce McGill Rosemarie DeWitt Ron Howard
Andrey Konchalovskiy,Shirley Henderson,Nathan Lane,Richard E. Grant,Action Family Fantasy Musical,the nutcracker in 3d,Action Family Fantasy Musical the nutcracker in 3d Shirley Henderson Nathan Lane Richard E. Grant Andrey Konchalovskiy
Gary Ross,Jeff Bridges,Michael Angarano,Michael O'Neill,Drama History Sport,seabiscuit,Drama History Sport seabiscuit Jeff Bridges Michael Angarano Michael O'Neill Gary Ross
Jan de Bont,Philip Seymour Hoffman,Alan Ruck,Jami Gertz,Action Adventure Drama Thriller,twister,Action Adventure Drama Thriller twister Philip Seymour Hoffman Alan Ruck Jami Gertz Jan de Bont
Robert Zemeckis,Tom Hanks,Paul Sanchez,Nick Searcy,Adventure Drama Romance,cast away,Adventure Drama Romance cast away Tom Hanks Paul Sanchez Nick Searcy Robert Zemeckis
George Miller,Robin Williams,Hugh Jackman,Elizabeth Daily,Animation Comedy Family Music Romance,happy feet,Animation Comedy Family Music Romance happy feet Robin Williams Hugh Jackman Elizabeth Daily George Miller
Paul Greengrass,Matt Damon,Joan Allen,Oksana Akinshina,Action Mystery Thriller,the bourne supremacy,Action Mystery Thriller the bourne supremacy Matt Damon Joan Allen Oksana Akinshina Paul Greengrass
Wolfgang Petersen,Harrison Ford,Gary Oldman,Dean Stockwell,Action Adventure Drama Thriller,air force one,Action Adventure Drama Thriller air force one Harrison Ford Gary Oldman Dean Stockwell Wolfgang Petersen
